# Time-averaged data for fix 4
# TimeStep c_3[1] c_3[2] c_3[3] c_3[4]
924 -0.0687542 -0.280776 -0.410144 -0.759674
926 -0.0354436 -0.262572 -0.389159 -0.687175
928 -0.000934255 -0.24308 -0.365352 -0.609367
930 0.0344768 -0.222444 -0.338911 -0.526878
932 0.0704808 -0.200805 -0.310043 -0.440367
934 0.106759 -0.178304 -0.278971 -0.350515
936 0.142987 -0.155085 -0.245934 -0.258032
938 0.178833 -0.131292 -0.211182 -0.163641
940 0.213976 -0.107067 -0.174984 -0.0680746
942 0.248102 -0.0825514 -0.137619 0.0279313
944 0.280909 -0.057889 -0.0993802 0.12364
946 0.312118 -0.0332213 -0.0605718 0.218325
948 0.341472 -0.00869396 -0.0215109 0.311267
950 0.368741 0.0155526 0.0174793 0.401773
952 0.393719 0.0393805 0.0560651 0.489164
954 0.41623 0.0626565 0.0939132 0.5728
956 0.43613 0.0852487 0.130688 0.652067
958 0.453302 0.107036 0.166064 0.726402
960 0.467658 0.127909 0.199725 0.795291
962 0.479135 0.147769 0.23137 0.858274
964 0.487699 0.166525 0.260725 0.91495
966 0.493338 0.184102 0.287546 0.964986
968 0.496062 0.200437 0.311623 1.00812
970 0.495902 0.215479 0.332785 1.04416
972 0.492907 0.229182 0.3509 1.07299
974 0.487145 0.241509 0.365883 1.09454
976 0.478687 0.252429 0.37769 1.10881
978 0.467621 0.261919 0.386322 1.11586
980 0.454045 0.269957 0.391819 1.11582
982 0.438057 0.276529 0.394261 1.10885
984 0.419765 0.281621 0.393765 1.09515
986 0.399277 0.285229 0.390477 1.07498
988 0.376707 0.287348 0.384571 1.04863
990 0.352172 0.287978 0.376247 1.0164
992 0.325785 0.287132 0.365727 0.978643
994 0.297662 0.284832 0.353245 0.935739
996 0.267919 0.281115 0.339041 0.888075
998 0.236671 0.276025 0.323369 0.836065
1000 0.204031 0.269626 0.306476 0.780133
1002 0.170116 0.261991 0.288612 0.720719
1004 0.135047 0.253206 0.270015 0.658268
1006 0.0989512 0.243366 0.250916 0.593234
1008 0.0619698 0.232575 0.231532 0.526077
1010 0.0242595 0.220939 0.212061 0.45726
1012 -0.0140049 0.208566 0.192684 0.387245
1014 -0.0526267 0.195556 0.173559 0.316488
1016 -0.0913864 0.182005 0.154823 0.245441
1018 -0.130039 0.168001 0.136594 0.174555
1020 -0.168315 0.153618 0.118967 0.10427
1022 -0.205926 0.138913 0.102013 0.0350003
1024 -0.242561 0.123934 0.0857804 -0.0328474
1026 -0.277903 0.108714 0.0702972 -0.0988916
1028 -0.311621 0.0932875 0.0555678 -0.162765
1030 -0.343391 0.0776756 0.0415759 -0.224139
1032 -0.3729 0.061902 0.0282923 -0.282706
1034 -0.399854 0.0459966 0.0156716 -0.338185
1036 -0.423989 0.0299921 0.00366084 -0.390336
1038 -0.445077 0.0139339 -0.00779852 -0.438941
1040 -0.462937 -0.00212212 -0.0187674 -0.483827
1042 -0.477441 -0.018105 -0.0293058 -0.524852
1044 -0.488506 -0.0339354 -0.0394673 -0.561909
1046 -0.496102 -0.0495229 -0.0492991 -0.594924
1048 -0.500252 -0.0647658 -0.058839 -0.623856
